project_id,expected_payoff,risk,sunk_cost,prestige_value,complexity,overconfidence,review_strength,long_horizon_value
1,0.14,0.22,0.31,0.20,0.35,0.18,0.40,0.26
2,0.09,0.34,0.49,0.29,0.47,0.31,0.10,0.18
3,0.21,0.19,0.18,0.16,0.29,0.12,0.80,0.42
4,0.05,0.41,0.55,0.34,0.51,0.37,0.10,0.11
5,0.18,0.27,0.26,0.22,0.32,0.21,0.40,0.36
6,0.11,0.30,0.44,0.25,0.39,0.27,0.40,0.19
7,0.24,0.17,0.14,0.13,0.26,0.10,0.80,0.48
8,0.07,0.37,0.62,0.31,0.45,0.34,0.10,0.16
9,0.16,0.25,0.29,0.19,0.34,0.16,0.80,0.31
10,0.12,0.28,0.39,0.23,0.37,0.24,0.40,0.24
