user_id,baseline_value,salience_sensitivity,default_sensitivity,friction_sensitivity,reward_sensitivity,cognitive_overload,privacy_sensitivity,autonomy_preference
1,0.42,0.61,0.48,0.58,0.57,0.39,0.52,0.60
2,0.31,0.49,0.62,0.71,0.44,0.56,0.73,0.70
3,0.58,0.70,0.39,0.45,0.68,0.28,0.41,0.49
4,0.47,0.55,0.51,0.63,0.59,0.43,0.58,0.62
5,0.25,0.42,0.68,0.76,0.38,0.64,0.80,0.74
6,0.63,0.73,0.44,0.40,0.71,0.24,0.36,0.45
7,0.39,0.52,0.57,0.66,0.50,0.50,0.66,0.68
8,0.54,0.64,0.46,0.49,0.63,0.31,0.47,0.52
9,0.36,0.50,0.60,0.69,0.45,0.55,0.69,0.71
10,0.49,0.59,0.53,0.57,0.61,0.40,0.54,0.59
