citizen_id,trust,salience,norm_sensitivity,burden_sensitivity,present_bias,income,digital_access,baseline_compliance
1,0.62,0.55,0.47,0.58,0.33,52000,0.80,0.56
2,0.41,0.44,0.38,0.72,0.49,36000,0.58,0.42
3,0.74,0.67,0.59,0.41,0.22,81000,0.91,0.68
4,0.52,0.49,0.43,0.64,0.38,47000,0.71,0.50
5,0.29,0.36,0.31,0.81,0.57,29000,0.45,0.31
6,0.69,0.61,0.52,0.49,0.28,67000,0.87,0.63
7,0.48,0.53,0.49,0.66,0.44,41000,0.63,0.46
8,0.83,0.72,0.66,0.35,0.18,94000,0.96,0.76
9,0.57,0.46,0.40,0.55,0.36,58000,0.78,0.53
10,0.36,0.39,0.35,0.77,0.52,33000,0.52,0.37
